"ad_id","media_name","ad_type","start_date","impression","end_date","cost","revenue","click","action"
51,"Flyer","Promotion",2024-02-29,247,2024-04-16,56316,252858.84,21,3
52,"Google","Cut Off",2023-02-04,422,2023-04-10,377268,1758068.88,34,5
53,"Facebook","Freebies",2019-04-05,747,2019-04-12,429525,283486.5,63,7
54,"Flyer","Promotion",2018-06-19,188,2018-08-14,73696,8843.52,12,2
55,"Tiktok","Cut Off",2020-11-10,571,2020-12-12,419114,691538.1,52,4
56,"Tiktok","Freebies",2020-03-09,887,2020-05-01,418664,1322978.24,50,8
57,"Tiktok","Discount",2022-12-12,272,2023-01-12,103088,43296.96,17,2
58,"Tiktok","Discount",2022-01-29,115,2022-03-29,57040,183098.4,6,0
59,"Website","Freebies",2021-01-23,306,2021-04-02,66708,94058.28,23,3
60,"Facebook","Bonus",2023-05-15,784,2023-07-18,522144,2187783.36,41,6
61,"Facebook","Freebies",2018-10-13,567,2018-12-08,271593,936995.85,29,3
62,"Flyer","Promotion",2022-04-23,131,2022-07-06,57378,80902.98,7,1
63,"Flyer","Cut Off",2023-01-15,490,2023-04-15,320460,826786.8,28,5
64,"Instagram","Promotion",2022-09-03,879,2022-09-30,366543,164944.35,70,9
65,"Google","Promotion",2023-09-16,228,2023-09-29,68628,319806.48,16,1
66,"Instagram","Promotion",2020-02-14,179,2020-04-30,170587,614113.2,15,3
67,"Flyer","Discount",2019-04-01,895,2019-06-15,533420,1253537,58,6
68,"Google","Freebies",2022-08-13,703,2022-09-21,532874,852598.4,49,4
69,"Google","Cut Off",2023-05-23,443,2023-06-02,378322,1044168.72,25,3
70,"Website","Promotion",2022-06-17,898,2022-08-29,742646,141102.74,81,15
71,"Google","Promotion",2023-03-19,807,2023-06-02,223539,775680.33,77,10
72,"Flyer","Freebies",2021-02-15,148,2021-03-18,95016,183380.88,8,2
73,"Website","Freebies",2020-07-25,286,2020-08-15,271700,1268839,19,1
74,"Facebook","Bonus",2022-08-14,993,2022-11-10,244278,102596.76,64,12
75,"Website","Bonus",2018-03-01,110,2018-05-02,23540,31308.2,10,2
76,"Google","Bonus",2022-06-14,134,2022-08-13,37252,112501.04,9,2
77,"Tiktok","Freebies",2022-04-27,735,2022-05-09,497595,2055067.35,68,12
78,"Website","Promotion",2022-04-22,574,2022-06-18,192290,599944.8,36,5
79,"Flyer","Cut Off",2022-05-06,777,2022-05-14,604506,1287597.78,49,6
80,"Website","Discount",2018-04-23,980,2018-06-14,493920,1061928,75,5
81,"Google","Freebies",2019-04-24,947,2019-05-12,855141,3352152.72,83,10
82,"Instagram","Promotion",2024-03-03,627,2024-03-23,181830,840054.6,34,3
83,"Website","Promotion",2022-02-15,182,2022-03-18,148148,134814.68,11,1
84,"Facebook","Freebies",2021-05-16,167,2021-06-25,132097,406858.76,13,1
85,"Flyer","Discount",2021-08-11,592,2021-10-21,545824,1440975.36,37,3
86,"Google","Promotion",2018-06-18,563,2018-06-25,559059,737957.88,33,3
87,"Instagram","Bonus",2020-07-11,283,2020-07-22,216212,784849.56,15,3
88,"Website","Bonus",2023-05-02,717,2023-07-12,715566,2654749.86,49,7
89,"Tiktok","Promotion",2018-05-26,265,2018-07-26,100965,240296.7,14,3
90,"Website","Promotion",2020-01-20,386,2020-02-13,375964,82712.08,26,3
91,"Facebook","Cut Off",2018-10-23,915,2019-01-02,779580,1582547.4,81,14
92,"Website","Discount",2018-11-02,181,2018-12-19,38010,126193.2,15,1
93,"Tiktok","Discount",2018-05-17,405,2018-08-04,202095,347603.4,25,2
94,"Tiktok","Discount",2018-11-06,582,2018-12-24,121056,44790.72,51,4
95,"Website","Discount",2020-12-25,482,2021-01-12,408254,510317.5,28,3
96,"Tiktok","Promotion",2020-04-07,361,2020-06-23,84474,83629.26,36,3
97,"Flyer","Promotion",2020-07-20,685,2020-07-30,502105,692904.9,60,9
98,"Website","Bonus",2018-01-03,722,2018-01-16,303962,635280.58,59,11
99,"Google","Freebies",2022-03-08,587,2022-04-06,225408,435037.44,55,4
100,"Flyer","Freebies",2019-12-18,947,2020-02-06,307775,818681.5,83,6
101,"Tiktok","Bonus",2020-10-30,883,2020-11-20,564237,1320314.58,81,12
102,"Flyer","Freebies",2018-03-25,156,2018-04-22,154908,514294.56,8,1
103,"Instagram","Cut Off",2018-09-09,999,2018-10-09,369630,1260438.3,64,12
104,"Google","Bonus",2020-11-27,539,2021-01-22,388619,1126995.1,37,3
105,"Tiktok","Bonus",2022-09-30,289,2022-11-15,115600,557192,26,5
106,"Google","Bonus",2018-01-21,909,2018-02-28,821736,2226904.56,65,7
107,"Google","Promotion",2023-08-03,305,2023-09-16,281515,484205.8,18,2
108,"Website","Cut Off",2022-04-21,416,2022-06-07,375232,454030.72,22,4
109,"Google","Discount",2021-12-07,803,2022-02-15,167827,43635.02,75,14
110,"Facebook","Freebies",2021-11-08,695,2021-12-29,275220,432095.4,58,9
111,"Instagram","Promotion",2023-07-03,759,2023-09-22,690690,2493390.9,63,4
112,"Instagram","Cut Off",2023-07-25,936,2023-08-11,850824,2816227.44,86,6
113,"Website","Bonus",2021-11-25,729,2022-02-22,359397,380960.82,53,7
114,"Flyer","Cut Off",2021-04-21,874,2021-06-03,441370,1001909.9,51,3
115,"Website","Promotion",2021-06-27,504,2021-08-07,468216,2013328.8,34,4
116,"Instagram","Freebies",2022-10-01,247,2022-10-24,135603,115262.55,19,2
117,"Google","Freebies",2023-03-21,743,2023-03-22,719967,2239097.37,70,12
118,"Instagram","Promotion",2019-11-03,726,2019-11-10,496584,685285.92,44,4
119,"Flyer","Bonus",2020-07-21,467,2020-08-12,142902,224356.14,28,3
120,"Instagram","Promotion",2021-03-08,666,2021-05-10,497502,1412905.68,57,11
121,"Flyer","Discount",2019-11-12,534,2019-11-17,359916,1263305.16,29,5
122,"Website","Promotion",2019-03-06,575,2019-03-31,303025,618171,42,7
123,"Tiktok","Cut Off",2018-11-23,737,2019-02-21,165825,512399.25,73,9
124,"Facebook","Promotion",2020-11-24,359,2020-12-30,228324,653006.64,21,2
125,"Facebook","Bonus",2019-08-22,828,2019-08-30,352728,878292.72,60,6
126,"Google","Discount",2020-05-17,570,2020-07-28,563160,1824638.4,38,5
127,"Tiktok","Freebies",2023-08-31,440,2023-11-10,224400,177276,27,3
128,"Flyer","Cut Off",2023-08-08,347,2023-09-04,206812,76520.44,32,6
129,"Instagram","Discount",2023-02-04,419,2023-03-05,93856,375424,24,2
130,"Website","Freebies",2020-05-24,867,2020-06-16,598230,831539.7,65,5
131,"Website","Cut Off",2019-07-01,560,2019-09-16,298480,80589.6,35,5
132,"Instagram","Promotion",2023-05-08,208,2023-08-06,102544,63577.28,19,2
133,"Google","Cut Off",2023-08-23,154,2023-10-09,99638,244113.1,12,2
134,"Tiktok","Freebies",2018-08-01,428,2018-08-28,280340,384065.8,37,4
135,"Tiktok","Freebies",2018-05-18,441,2018-06-06,352800,970200,29,2
136,"Flyer","Bonus",2023-06-05,852,2023-08-08,754020,2405323.8,75,6
137,"Facebook","Bonus",2018-09-09,503,2018-11-13,138325,607246.75,27,2
138,"Google","Cut Off",2020-11-15,414,2021-01-22,168084,593336.52,36,2
139,"Website","Bonus",2021-10-10,944,2021-12-26,691008,1955552.64,67,10
140,"Google","Cut Off",2020-08-22,925,2020-09-16,438450,1517037,63,7
141,"Tiktok","Discount",2023-07-08,354,2023-07-12,280722,61758.84,35,3
142,"Google","Bonus",2018-12-18,637,2019-01-29,605787,2641231.32,44,8
143,"Instagram","Discount",2023-04-22,244,2023-06-23,88816,119901.6,22,2
144,"Facebook","Discount",2019-04-11,456,2019-06-23,274968,610428.96,24,3
145,"Website","Cut Off",2018-10-14,480,2018-10-29,449280,561600,34,4
146,"Instagram","Bonus",2018-02-24,265,2018-03-28,211735,730485.75,26,3
147,"Google","Cut Off",2022-05-12,613,2022-05-13,384964,950861.08,55,10
148,"Website","Bonus",2023-05-24,424,2023-06-16,169176,575198.4,33,4
149,"Tiktok","Freebies",2019-09-20,788,2019-10-03,612276,961273.32,47,3
150,"Facebook","Discount",2021-01-20,338,2021-04-02,79768,288760.16,23,2
151,"Facebook","Freebies",2020-03-24,840,2020-05-04,467880,1941702,78,9
152,"Tiktok","Cut Off",2022-11-04,424,2022-12-25,231080,677064.4,38,7
153,"Google","Promotion",2020-03-07,993,2020-05-27,676233,446313.78,78,6
154,"Facebook","Discount",2023-10-07,384,2023-12-01,282240,705600,25,5
155,"Tiktok","Promotion",2021-11-24,829,2022-02-14,582787,128213.14,76,13
156,"Flyer","Discount",2021-07-15,167,2021-10-07,125918,516263.8,12,1
157,"Google","Cut Off",2023-09-15,824,2023-10-09,820704,3873722.88,67,4
158,"Flyer","Promotion",2020-08-01,487,2020-10-26,270772,222033.04,33,3
159,"Flyer","Bonus",2018-11-22,107,2019-02-05,72653,87910.13,8,1
160,"Flyer","Cut Off",2021-08-17,591,2021-10-24,169617,480016.11,56,5
161,"Tiktok","Promotion",2021-04-18,633,2021-06-05,632367,1441796.76,51,3
162,"Instagram","Freebies",2021-11-16,649,2021-12-09,513359,503091.82,35,5
163,"Google","Discount",2022-06-29,181,2022-09-21,49956,128386.92,11,1
164,"Instagram","Cut Off",2018-07-24,930,2018-08-12,231570,634501.8,89,6
165,"Google","Discount",2020-08-29,293,2020-09-29,155290,189453.8,18,2
166,"Facebook","Freebies",2021-11-15,439,2021-12-12,413538,95113.74,41,7
167,"Facebook","Discount",2024-01-15,138,2024-03-10,82662,390991.26,11,2
168,"Flyer","Promotion",2020-05-10,777,2020-07-26,313131,1490503.56,74,15
169,"Instagram","Freebies",2019-11-08,893,2020-01-09,772445,3823602.75,87,9
170,"Google","Discount",2023-11-29,685,2023-12-28,418535,1037966.8,52,9
171,"Facebook","Bonus",2024-02-07,327,2024-02-14,280239,795878.76,28,5
172,"Tiktok","Discount",2023-01-01,475,2023-04-01,110200,63916,41,4
173,"Instagram","Bonus",2023-10-24,935,2023-12-10,686290,1386305.8,74,9
174,"Facebook","Cut Off",2022-06-18,690,2022-07-24,487830,1512273,66,8
175,"Flyer","Freebies",2020-09-06,303,2020-10-28,209373,324528.15,17,1
176,"Facebook","Discount",2023-09-07,680,2023-09-09,531760,2446096,55,6
177,"Google","Cut Off",2019-10-02,570,2019-11-04,403560,1723201.2,48,5
178,"Flyer","Freebies",2021-02-06,291,2021-03-04,93993,43236.78,27,4
179,"Tiktok","Bonus",2021-03-18,480,2021-06-10,372000,569160,44,8
180,"Tiktok","Discount",2022-01-03,456,2022-02-21,149112,420495.84,31,3
181,"Instagram","Discount",2021-04-06,871,2021-05-14,294398,1204087.82,69,7
182,"Instagram","Bonus",2020-04-15,332,2020-07-04,148736,700546.56,17,2
183,"Flyer","Discount",2021-03-11,352,2021-04-06,96096,233513.28,23,4
184,"Instagram","Freebies",2020-06-19,504,2020-07-02,154728,439427.52,47,5
185,"Flyer","Bonus",2018-12-01,682,2019-01-16,553784,1977008.88,36,2
186,"Website","Discount",2023-08-02,737,2023-08-31,165825,19899,69,9
187,"Flyer","Discount",2023-09-02,365,2023-09-05,184690,670424.7,34,2
188,"Flyer","Discount",2019-06-10,248,2019-08-01,150288,127744.8,24,3
189,"Website","Freebies",2024-01-24,497,2024-04-09,451773,2042013.96,43,3
190,"Flyer","Promotion",2021-02-07,295,2021-02-24,273465,1129410.45,19,2
191,"Instagram","Freebies",2020-04-03,790,2020-04-05,601190,589166.2,45,9
192,"Flyer","Freebies",2021-11-21,889,2022-01-10,452501,796401.76,48,7
193,"Flyer","Discount",2019-02-03,805,2019-04-14,270480,156878.4,51,6
194,"Google","Freebies",2022-02-14,853,2022-03-01,620984,173875.52,51,9
195,"Flyer","Cut Off",2021-08-16,298,2021-09-17,149596,493666.8,16,2
196,"Flyer","Cut Off",2021-02-27,452,2021-03-29,141928,173152.16,35,5
197,"Instagram","Bonus",2019-11-18,250,2019-11-24,149000,549810,13,2
198,"Facebook","Promotion",2023-10-09,475,2023-12-02,317775,603772.5,28,5
199,"Tiktok","Promotion",2022-07-03,125,2022-07-17,35875,57041.25,9,2
200,"Instagram","Bonus",2022-08-28,988,2022-09-11,709384,503662.64,64,3
